,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
62,26/04/2020,26,4,2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia
63,25/04/2020,25,4,2020,70,1,Afghanistan,AF,AFG,38041757.0,Asia
64,24/04/2020,24,4,2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia
65,23/04/2020,23,4,2020,84,4,Afghanistan,AF,AFG,38041757.0,Asia
66,22/04/2020,22,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia
67,21/04/2020,21,4,2020,35,2,Afghanistan,AF,AFG,38041757.0,Asia
68,20/04/2020,20,4,2020,88,3,Afghanistan,AF,AFG,38041757.0,Asia
69,19/04/2020,19,4,2020,63,0,Afghanistan,AF,AFG,38041757.0,Asia
70,18/04/2020,18,4,2020,51,1,Afghanistan,AF,AFG,38041757.0,Asia
71,17/04/2020,17,4,2020,10,4,Afghanistan,AF,AFG,38041757.0,Asia
72,16/04/2020,16,4,2020,70,2,Afghanistan,AF,AFG,38041757.0,Asia
73,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,38041757.0,Asia
74,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,38041757.0,Asia
75,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,38041757.0,Asia
76,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,38041757.0,Asia
77,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,38041757.0,Asia
78,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia
79,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,38041757.0,Asia
80,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,38041757.0,Asia
81,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia
82,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,38041757.0,Asia
83,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,38041757.0,Asia
84,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
85,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,38041757.0,Asia
86,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,38041757.0,Asia
87,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,38041757.0,Asia
